# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.22          	U             	(5.671059e-01 -9.266748e-01 -1.909665e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.538671e+00 8.491800e-01 6.309044e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.22          	p             	-2.154211e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.281198e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.23          	U             	(5.643285e-01 -9.294955e-01 -1.900824e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.509622e+00 8.599588e-01 6.019094e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.23          	p             	-2.206452e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.287853e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.24          	U             	(5.616678e-01 -9.254860e-01 -1.907914e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.521000e+00 8.571843e-01 6.211145e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.24          	p             	-2.163895e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.283339e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.25          	U             	(5.645409e-01 -9.252899e-01 -1.929229e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.545779e+00 8.530550e-01 6.346395e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.25          	p             	-2.114671e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.297645e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.26          	U             	(5.688273e-01 -9.312794e-01 -1.910016e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.523558e+00 8.558789e-01 6.223724e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.26          	p             	-2.190897e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.288367e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.27          	U             	(5.627702e-01 -9.297854e-01 -1.902208e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.507707e+00 8.628225e-01 6.012025e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.27          	p             	-2.206907e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.288486e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.28          	U             	(5.614280e-01 -9.248026e-01 -1.919760e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.532498e+00 8.519491e-01 6.285495e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.28          	p             	-2.112592e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296207e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.29          	U             	(5.695762e-01 -9.277005e-01 -1.923379e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.536095e+00 8.600987e-01 6.381694e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.29          	p             	-2.133256e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.284273e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.3           	U             	(5.637877e-01 -9.300081e-01 -1.907271e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.518388e+00 8.650947e-01 6.020136e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.3           	p             	-2.206073e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.292610e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.31          	U             	(5.605112e-01 -9.281957e-01 -1.899752e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.516750e+00 8.539547e-01 6.166470e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.31          	p             	-2.174779e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.290031e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.32          	U             	(5.669139e-01 -9.252692e-01 -1.939665e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.538240e+00 8.570827e-01 6.342867e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.32          	p             	-2.111848e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.298497e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.33          	U             	(5.662871e-01 -9.284464e-01 -1.908014e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.533565e+00 8.505268e-01 6.259602e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.33          	p             	-2.175242e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.281841e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.34          	U             	(5.634736e-01 -9.304899e-01 -1.904765e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.505234e+00 8.648639e-01 5.964731e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.34          	p             	-2.204584e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296525e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.35          	U             	(5.631409e-01 -9.243660e-01 -1.928225e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.533066e+00 8.464277e-01 6.201908e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.35          	p             	-2.126112e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.295706e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.36          	U             	(5.654946e-01 -9.253170e-01 -1.929538e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.542050e+00 8.576730e-01 6.361827e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.36          	p             	-2.125342e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.295717e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.37          	U             	(5.669692e-01 -9.313372e-01 -1.917732e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.516336e+00 8.681726e-01 6.030922e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.37          	p             	-2.197504e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.302022e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
