# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0224        	DICPCG	2.282070e-02	8.176300e-04	4	true
0.0225        	DICPCG	1.917920e-02	8.234850e-04	5	true
0.0226        	DICPCG	1.966350e-02	9.020220e-04	4	true
0.0227        	DICPCG	3.130920e-02	1.344850e-03	3	true
0.0228        	DICPCG	2.973880e-02	1.216180e-03	3	true
0.0229        	DICPCG	2.259740e-02	9.344020e-04	4	true
0.023         	DICPCG	2.083830e-02	9.553130e-04	5	true
0.0231        	DICPCG	2.116830e-02	9.029570e-04	4	true
0.0232        	DICPCG	2.125650e-02	9.175410e-04	4	true
0.0233        	DICPCG	2.900490e-02	1.268620e-03	3	true
0.0234        	DICPCG	2.295380e-02	1.117250e-03	4	true
0.0235        	DICPCG	1.959220e-02	8.773850e-04	4	true
0.0236        	DICPCG	2.569220e-02	1.226400e-03	4	true
0.0237        	DICPCG	2.213120e-02	1.043110e-03	4	true
0.0238        	DICPCG	2.107340e-02	8.568980e-04	4	true
0.0239        	DICPCG	1.979340e-02	9.079840e-04	4	true
0.024         	DICPCG	2.035120e-02	8.597730e-04	5	true
0.0241        	DICPCG	2.089510e-02	8.749450e-04	5	true
0.0242        	DICPCG	2.073450e-02	9.241130e-04	4	true
0.0243        	DICPCG	2.239550e-02	8.312180e-04	4	true
0.0244        	DICPCG	1.645150e-02	7.941700e-04	3	true
0.0245        	DICPCG	2.540400e-02	7.851400e-04	4	true
0.0246        	DICPCG	2.735980e-02	9.151900e-04	4	true
0.0247        	DICPCG	2.229470e-02	1.013350e-03	4	true
0.0248        	DICPCG	1.771740e-02	7.542290e-04	6	true
0.0249        	DICPCG	1.944410e-02	7.874390e-04	4	true
0.025         	DICPCG	2.593790e-02	1.156920e-03	4	true
0.0251        	DICPCG	2.202030e-02	8.483200e-04	4	true
0.0252        	DICPCG	2.361470e-02	1.123420e-03	4	true
0.0253        	DICPCG	2.337280e-02	1.103300e-03	5	true
0.0254        	DICPCG	1.775120e-02	7.630720e-04	4	true
0.0255        	DICPCG	2.069730e-02	8.170340e-04	4	true
0.0256        	DICPCG	2.142090e-02	9.580290e-04	4	true
0.0257        	DICPCG	2.071440e-02	9.534490e-04	5	true
0.0258        	DICPCG	2.356230e-02	1.173800e-03	4	true
0.0259        	DICPCG	1.969440e-02	9.476290e-04	4	true
0.026         	DICPCG	1.967900e-02	9.146490e-04	4	true
0.0261        	DICPCG	2.305740e-02	8.746090e-04	4	true
0.0262        	DICPCG	2.197690e-02	9.029780e-04	5	true
0.0263        	DICPCG	1.991380e-02	9.620620e-04	4	true
0.0264        	DICPCG	1.772640e-02	8.651930e-04	4	true
0.0265        	DICPCG	1.601030e-02	6.671590e-04	6	true
0.0266        	DICPCG	2.670970e-02	1.204840e-03	4	true
0.0267        	DICPCG	2.747030e-02	9.863240e-04	4	true
0.0268        	DICPCG	2.031920e-02	9.941900e-04	4	true
0.0269        	DICPCG	2.206430e-02	9.367590e-04	4	true
0.027         	DICPCG	1.920650e-02	8.824110e-04	4	true
0.0271        	DICPCG	3.011810e-02	1.398930e-03	3	true
0.0272        	DICPCG	1.762280e-02	6.939810e-04	4	true
0.0273        	DICPCG	2.007510e-02	9.889740e-04	3	true
0.0274        	DICPCG	1.986310e-02	8.054110e-04	4	true
0.0275        	DICPCG	1.679690e-02	7.036090e-04	4	true
0.0276        	DICPCG	1.755350e-02	8.056580e-04	4	true
0.0277        	DICPCG	1.866280e-02	9.201260e-04	4	true
0.0278        	DICPCG	1.531420e-02	6.956260e-04	4	true
0.0279        	DICPCG	1.233260e-02	5.530400e-04	6	true
0.028         	DICPCG	1.741360e-02	8.173360e-04	4	true
0.0281        	DICPCG	1.642410e-02	8.100840e-04	5	true
0.0282        	DICPCG	1.907340e-02	8.160970e-04	4	true
0.0283        	DICPCG	1.530410e-02	6.171740e-04	6	true
0.0284        	DICPCG	1.832850e-02	7.448680e-04	4	true
0.0285        	DICPCG	1.591530e-02	7.341310e-04	5	true
0.0286        	DICPCG	2.060230e-02	7.571050e-04	4	true
0.0287        	DICPCG	2.012830e-02	7.794600e-04	4	true
0.0288        	DICPCG	2.089120e-02	9.058510e-04	4	true
0.0289        	DICPCG	1.967440e-02	9.780460e-04	6	true
0.029         	DICPCG	2.274920e-02	1.064070e-03	3	true
