# Region type : patch outlet
# Faces       : 52
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
1.42          	(2.001618e+00 3.017653e-01 2.914005e-23)
1.43          	(2.000197e+00 -3.972493e-01 1.445006e-23)
1.44          	(1.997493e+00 -6.580456e-01 7.868474e-24)
1.45          	(2.004203e+00 -5.229161e-01 2.667206e-23)
1.46          	(2.000594e+00 2.069237e-01 5.318868e-24)
1.47          	(1.997512e+00 5.783522e-01 -5.324164e-24)
1.48          	(2.003043e+00 5.788460e-01 5.007759e-23)
1.49          	(1.999904e+00 -1.881790e-01 1.354415e-23)
1.5           	(1.998140e+00 -5.729064e-01 1.208348e-23)
1.51          	(1.999945e+00 -6.430379e-01 1.589161e-23)
1.52          	(2.002223e+00 -7.103890e-02 1.793319e-23)
1.53          	(1.998944e+00 5.398530e-01 -1.471406e-23)
1.54          	(2.002258e+00 6.676406e-01 5.402117e-23)
1.55          	(2.000453e+00 1.175724e-01 1.730402e-23)
1.56          	(1.999946e+00 -4.867533e-01 1.485877e-23)
1.57          	(1.997156e+00 -6.796933e-01 7.091752e-24)
1.58          	(2.003330e+00 -3.616372e-01 2.645482e-23)
1.59          	(2.000463e+00 3.908486e-01 -3.615096e-24)
1.6           	(1.996636e+00 6.036899e-01 1.423434e-23)
1.61          	(2.001292e+00 4.158547e-01 3.670136e-23)
1.62          	(1.999830e+00 -3.265341e-01 1.328947e-23)
1.63          	(1.997317e+00 -6.285585e-01 8.801828e-24)
1.64          	(2.003940e+00 -5.986404e-01 2.428914e-23)
1.65          	(2.000687e+00 9.809334e-02 9.952802e-24)
1.66          	(1.997860e+00 5.659366e-01 -1.365074e-23)
1.67          	(2.002961e+00 6.473820e-01 5.597504e-23)
1.68          	(1.999793e+00 -8.109101e-02 1.394233e-23)
1.69          	(1.998926e+00 -5.466516e-01 1.334579e-23)
1.7           	(1.997502e+00 -6.611637e-01 1.023342e-23)
1.71          	(2.002476e+00 -1.892332e-01 2.208770e-23)
1.72          	(1.999888e+00 5.039531e-01 -1.223913e-23)
1.73          	(1.998922e+00 6.466369e-01 4.206147e-23)
1.74          	(2.001611e+00 2.352697e-01 2.429707e-23)
1.75          	(2.000118e+00 -4.257304e-01 1.401621e-23)
1.76          	(1.997478e+00 -6.676456e-01 7.867277e-24)
1.77          	(2.004281e+00 -4.708662e-01 2.746831e-23)
1.78          	(2.000236e+00 2.738060e-01 2.428164e-24)
1.79          	(1.997219e+00 5.793597e-01 -1.848059e-24)
1.8           	(2.002713e+00 5.287852e-01 4.615632e-23)
1.81          	(1.999846e+00 -2.279439e-01 1.341026e-23)
1.82          	(1.997676e+00 -5.812266e-01 1.248167e-23)
1.83          	(2.001548e+00 -6.432436e-01 2.020776e-23)
1.84          	(2.001765e+00 -2.078187e-02 1.470911e-23)
1.85          	(1.998897e+00 5.504971e-01 -1.622783e-23)
1.86          	(2.003000e+00 6.711139e-01 5.718644e-23)
1.87          	(1.999904e+00 5.118090e-02 1.600856e-23)
1.88          	(1.999636e+00 -5.003719e-01 1.500136e-23)
1.89          	(1.997299e+00 -6.797185e-01 8.525093e-24)
1.9           	(2.003123e+00 -3.096832e-01 2.561868e-23)
1.91          	(2.000039e+00 4.301196e-01 -6.653421e-24)
1.92          	(1.996505e+00 6.169884e-01 2.493034e-23)
1.93          	(2.001994e+00 3.601031e-01 3.219734e-23)
1.94          	(1.999339e+00 -3.572206e-01 1.323802e-23)
1.95          	(1.997165e+00 -6.358111e-01 9.708135e-24)
1.96          	(2.004405e+00 -5.672274e-01 2.601070e-23)
1.97          	(2.001494e+00 1.471618e-01 8.291573e-24)
1.98          	(1.997854e+00 5.659846e-01 -1.121527e-23)
1.99          	(2.003230e+00 6.271951e-01 5.389436e-23)
2             	(2.000159e+00 -1.289487e-01 1.406873e-23)
2.01          	(1.998959e+00 -5.494597e-01 1.287951e-23)
2.02          	(1.998331e+00 -6.587412e-01 1.248463e-23)
2.03          	(2.002224e+00 -1.504537e-01 2.065512e-23)
2.04          	(1.999693e+00 5.203385e-01 -1.396002e-23)
2.05          	(2.000118e+00 6.554420e-01 4.643867e-23)
2.06          	(2.000998e+00 1.842050e-01 2.077214e-23)
2.07          	(2.000054e+00 -4.489381e-01 1.404559e-23)
2.08          	(1.997504e+00 -6.718935e-01 7.581140e-24)
2.09          	(2.004124e+00 -4.320435e-01 2.766739e-23)
2.1           	(2.000530e+00 3.184472e-01 3.031176e-25)
2.11          	(1.997155e+00 5.879074e-01 2.462251e-24)
2.12          	(2.002856e+00 4.935427e-01 4.402814e-23)
2.13          	(1.999780e+00 -2.714629e-01 1.397893e-23)
2.14          	(1.997899e+00 -5.985825e-01 1.126252e-23)
2.15          	(2.002166e+00 -6.281348e-01 2.033509e-23)
2.16          	(2.001465e+00 9.658619e-03 1.330765e-23)
2.17          	(1.998184e+00 5.605070e-01 -1.525048e-23)
2.18          	(2.003061e+00 6.665023e-01 5.664665e-23)
2.19          	(1.999723e+00 6.018329e-03 1.521543e-23)
2.2           	(1.999416e+00 -5.161001e-01 1.433397e-23)
2.21          	(1.997179e+00 -6.710762e-01 8.587327e-24)
2.22          	(2.003007e+00 -2.597839e-01 2.375947e-23)
2.23          	(2.000068e+00 4.547601e-01 -1.002843e-23)
2.24          	(1.997047e+00 6.279684e-01 3.067283e-23)
2.25          	(2.001779e+00 3.161846e-01 2.994941e-23)
2.26          	(1.999944e+00 -3.841279e-01 1.381461e-23)
2.27          	(1.997295e+00 -6.543663e-01 8.706799e-24)
2.28          	(2.004610e+00 -5.309852e-01 2.716893e-23)
2.29          	(2.000620e+00 1.921992e-01 6.179604e-24)
2.3           	(1.997622e+00 5.712554e-01 -7.296072e-24)
2.31          	(2.003348e+00 5.906005e-01 5.089110e-23)
