# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0128        	smoothSolver	1.179330e-03	3.391740e-06	1	1.885850e-03	7.810220e-06	1	false	DICPCG	1.684490e-02	7.028590e-04	3	true
0.0129        	smoothSolver	1.178200e-03	3.371050e-06	1	1.917800e-03	8.116530e-06	1	false	DICPCG	2.979040e-02	8.538700e-04	3	true
0.013         	smoothSolver	1.173430e-03	3.338690e-06	1	1.879100e-03	7.883470e-06	1	false	DICPCG	2.276930e-02	8.097540e-04	3	true
0.0131        	smoothSolver	1.177400e-03	3.433180e-06	1	1.906000e-03	8.379920e-06	1	false	DICPCG	2.545280e-02	1.016140e-03	3	true
0.0132        	smoothSolver	1.181500e-03	3.238770e-06	1	1.903050e-03	8.615670e-06	1	false	DICPCG	2.704840e-02	1.027570e-03	3	true
0.0133        	smoothSolver	1.188250e-03	3.214090e-06	1	1.890880e-03	8.248460e-06	1	false	DICPCG	2.478560e-02	7.990340e-04	3	true
0.0134        	smoothSolver	1.180650e-03	3.187750e-06	1	1.847120e-03	7.800220e-06	1	false	DICPCG	1.992440e-02	8.922100e-04	3	true
0.0135        	smoothSolver	1.171380e-03	3.079230e-06	1	1.860190e-03	8.008080e-06	1	false	DICPCG	2.170480e-02	8.676170e-04	3	true
0.0136        	smoothSolver	1.164640e-03	3.061540e-06	1	1.835780e-03	7.823440e-06	1	false	DICPCG	2.198940e-02	9.388260e-04	3	true
0.0137        	smoothSolver	1.160400e-03	3.067830e-06	1	1.849410e-03	7.976100e-06	1	false	DICPCG	2.288060e-02	8.972940e-04	3	true
0.0138        	smoothSolver	1.162080e-03	3.186600e-06	1	1.840750e-03	7.891320e-06	1	false	DICPCG	2.183360e-02	7.840880e-04	4	true
0.0139        	smoothSolver	1.164400e-03	3.161660e-06	1	1.854570e-03	7.588220e-06	1	false	DICPCG	2.155240e-02	1.030850e-03	3	true
0.014         	smoothSolver	1.158670e-03	3.250320e-06	1	1.855530e-03	7.526200e-06	1	false	DICPCG	1.849500e-02	6.562850e-04	3	true
0.0141        	smoothSolver	1.159820e-03	3.295100e-06	1	1.901500e-03	7.703130e-06	1	false	DICPCG	2.403950e-02	1.035070e-03	3	true
0.0142        	smoothSolver	1.157930e-03	3.452970e-06	1	1.866690e-03	7.644480e-06	1	false	DICPCG	2.185780e-02	9.988100e-04	3	true
0.0143        	smoothSolver	1.151350e-03	3.478450e-06	1	1.831510e-03	7.621540e-06	1	false	DICPCG	2.280110e-02	8.503310e-04	3	true
0.0144        	smoothSolver	1.145220e-03	3.325520e-06	1	1.870310e-03	7.866380e-06	1	false	DICPCG	2.319600e-02	1.158780e-03	3	true
0.0145        	smoothSolver	1.139850e-03	3.362530e-06	1	1.851560e-03	8.593480e-06	1	false	DICPCG	2.938060e-02	1.104190e-03	3	true
0.0146        	smoothSolver	1.139610e-03	3.357330e-06	1	1.949090e-03	9.173150e-06	1	false	DICPCG	2.922330e-02	1.334530e-03	3	true
0.0147        	smoothSolver	1.149100e-03	3.476850e-06	1	1.965990e-03	8.934710e-06	1	false	DICPCG	2.230860e-02	9.506230e-04	3	true
0.0148        	smoothSolver	1.149160e-03	3.355810e-06	1	1.922990e-03	8.459350e-06	1	false	DICPCG	2.194580e-02	9.077380e-04	3	true
0.0149        	smoothSolver	1.146380e-03	3.308370e-06	1	1.889020e-03	8.304740e-06	1	false	DICPCG	1.870220e-02	6.452530e-04	4	true
0.015         	smoothSolver	1.143390e-03	3.245660e-06	1	1.844390e-03	8.051770e-06	1	false	DICPCG	2.054320e-02	9.721510e-04	3	true
0.0151        	smoothSolver	1.140530e-03	3.268610e-06	1	1.837290e-03	8.008480e-06	1	false	DICPCG	2.092490e-02	9.558710e-04	3	true
0.0152        	smoothSolver	1.134350e-03	3.265850e-06	1	1.853900e-03	8.026920e-06	1	false	DICPCG	2.302130e-02	1.042560e-03	3	true
0.0153        	smoothSolver	1.132970e-03	3.291380e-06	1	1.820100e-03	7.615390e-06	1	false	DICPCG	2.469310e-02	7.136300e-04	4	true
0.0154        	smoothSolver	1.126000e-03	3.361480e-06	1	1.839810e-03	8.039730e-06	1	false	DICPCG	2.229620e-02	9.832240e-04	3	true
0.0155        	smoothSolver	1.123270e-03	3.444130e-06	1	1.840650e-03	8.048290e-06	1	false	DICPCG	2.268550e-02	7.296040e-04	4	true
