# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.39          	U             	(5.476085e-01 -8.041700e-01 -2.128495e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.975656e+00 2.215202e+00 4.231899e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.39          	p             	-7.215653e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.366858e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.4           	U             	(5.079160e-01 -1.149170e+00 -1.867324e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.782530e+00 2.086862e+00 2.490927e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.4           	p             	-8.879887e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.258807e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.41          	U             	(-1.409426e-01 -9.505409e-01 -3.488081e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.670434e+00 2.046739e+00 2.729523e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.41          	p             	-9.372382e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.056885e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.42          	U             	(-1.496920e-01 -1.140647e+00 -2.623878e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.708098e+00 2.080544e+00 3.539757e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.42          	p             	-7.793022e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.292790e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.43          	U             	(-1.501666e+00 -6.158746e-01 -2.655721e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.903488e+00 2.178551e+00 3.744750e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.43          	p             	-8.018443e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.995011e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.44          	U             	(4.653677e-01 -8.363323e-01 -2.193753e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.963687e+00 2.302389e+00 6.301461e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.44          	p             	-9.245654e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.260795e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.45          	U             	(5.308281e-01 -7.947731e-01 -2.063178e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.914738e+00 2.315308e+00 5.383570e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.45          	p             	-7.957020e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.122810e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.46          	U             	(5.105817e-01 -1.044326e+00 -2.008079e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.845203e+00 2.157791e+00 2.674644e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.46          	p             	-8.111826e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.368200e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.47          	U             	(-1.480834e+00 -7.985097e-01 -6.291970e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.698014e+00 2.053198e+00 2.437915e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.47          	p             	-9.469514e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.082412e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.48          	U             	(-1.875313e-01 -1.134508e+00 -3.266761e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.699317e+00 1.991771e+00 3.225996e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.48          	p             	-8.722226e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.130255e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.49          	U             	(-1.335100e+00 -4.427312e-01 -3.245381e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.828880e+00 2.130524e+00 2.878382e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.49          	p             	-7.421828e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.043481e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.5           	U             	(-1.532400e+00 -5.493507e-01 -3.103337e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(3.021962e+00 2.242105e+00 5.664667e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.5           	p             	-8.911521e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.496228e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
