# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.37          	U             	(-1.483282e-01 -1.049272e+00 -3.478930e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.688613e+00 1.995903e+00 2.797895e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.37          	p             	-9.353341e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.013798e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.38          	U             	(-1.430515e+00 -5.627839e-01 -4.172445e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.687818e+00 2.081179e+00 3.129716e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.38          	p             	-7.172231e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.593010e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.39          	U             	(-1.570507e+00 -5.533001e-01 -2.871351e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.910352e+00 2.236203e+00 4.579163e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.39          	p             	-8.453771e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.803825e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.4           	U             	(4.566532e-01 -8.297517e-01 -2.123602e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.030095e+00 2.282940e+00 6.665940e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.4           	p             	-9.327281e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.104009e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.41          	U             	(5.129849e-01 -8.014664e-01 -2.168513e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.962523e+00 2.248957e+00 4.468206e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.41          	p             	-7.668382e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.316388e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.42          	U             	(4.603069e-01 -1.127094e+00 -1.911809e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.811111e+00 2.132866e+00 2.647793e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.42          	p             	-8.500099e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.291589e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.43          	U             	(-1.647054e+00 -8.762399e-01 -5.143542e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.694768e+00 2.036729e+00 2.418426e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.43          	p             	-9.452560e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.110941e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.44          	U             	(-1.749416e-01 -1.160350e+00 -2.966688e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.721974e+00 1.995956e+00 3.344170e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.44          	p             	-8.267478e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.200157e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.45          	U             	(-1.489674e+00 -5.070126e-01 -2.960334e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.835956e+00 2.164971e+00 3.213761e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.45          	p             	-7.785476e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.059052e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.46          	U             	(4.600654e-01 -8.527938e-01 -2.243228e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.009758e+00 2.275866e+00 6.144057e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.46          	p             	-9.255106e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.366305e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.47          	U             	(5.127549e-01 -8.077137e-01 -2.052777e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(4.072621e+00 1.702226e+00 5.895146e-19)	(1.219773e-01 7.038514e-02 -1.025000e-02)	0
1.47          	p             	-8.423636e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.056663e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.48          	U             	(4.908397e-01 -9.797660e-01 -2.094963e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.908540e+00 2.163203e+00 2.747826e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.48          	p             	-7.729349e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.488137e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.49          	U             	(5.845703e-01 -1.166627e+00 -1.803442e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.695740e+00 2.080057e+00 2.460275e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.49          	p             	-9.315227e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.140226e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.5           	U             	(-1.791455e-01 -1.107150e+00 -3.391235e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.692611e+00 1.978624e+00 2.976528e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.5           	p             	-8.978765e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.053466e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.51          	U             	(-1.349100e+00 -4.736510e-01 -3.589883e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.795435e+00 2.071503e+00 2.764938e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.51          	p             	-7.290373e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.932980e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.52          	U             	(-1.503107e+00 -5.865525e-01 -2.865227e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.986181e+00 2.244044e+00 5.247307e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.52          	p             	-8.893300e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.613957e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.53          	U             	(4.954541e-01 -7.984093e-01 -2.031349e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.060380e+00 2.280534e+00 6.667945e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.53          	p             	-9.023607e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	3.976394e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.54          	U             	(4.704323e-01 -8.914772e-01 -2.184943e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.962700e+00 2.222196e+00 3.737442e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.54          	p             	-6.891913e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.499432e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.55          	U             	(5.442927e-01 -1.159282e+00 -1.866203e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.721504e+00 2.102956e+00 2.458866e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.55          	p             	-8.981871e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.236154e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.56          	U             	(-1.418463e-01 -9.922688e-01 -3.481013e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.680321e+00 2.004675e+00 2.513505e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.56          	p             	-9.369831e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.065286e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.57          	U             	(-1.421115e-01 -1.146383e+00 -2.514013e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.728509e+00 2.057814e+00 3.355710e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.57          	p             	-7.627739e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.411710e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.58          	U             	(-1.511445e+00 -6.093248e-01 -2.695006e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.895175e+00 2.157858e+00 3.939536e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.58          	p             	-8.118623e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.936255e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.59          	U             	(4.799622e-01 -8.119958e-01 -2.162769e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(4.130360e+00 1.696713e+00 6.383553e-19)	(1.219773e-01 7.038514e-02 -1.025000e-02)	0
1.59          	p             	-9.381383e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.186045e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.6           	U             	(4.914732e-01 -8.402612e-01 -2.081471e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.949015e+00 2.302725e+00 5.216984e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.6           	p             	-7.929056e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.165734e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.61          	U             	(5.163411e-01 -1.031981e+00 -1.980650e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.837590e+00 2.140515e+00 2.872917e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.61          	p             	-8.294803e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.333776e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.62          	U             	(-1.484769e+00 -8.034288e-01 -6.203850e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.699861e+00 2.049093e+00 2.506189e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.62          	p             	-9.515362e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.077618e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.63          	U             	(-1.876092e-01 -1.132904e+00 -3.217262e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.708477e+00 1.999040e+00 3.205779e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.63          	p             	-8.610978e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.110096e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.64          	U             	(-1.335842e+00 -4.408657e-01 -3.132657e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.863907e+00 2.125442e+00 2.989116e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.64          	p             	-7.471255e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.088193e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.65          	U             	(5.377388e-01 -8.450247e-01 -2.315399e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.891255e+00 2.099482e+00 3.764511e-18)	(1.198624e-01 6.718590e-02 -1.025000e-02)	0
1.65          	p             	-9.082313e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.436025e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.66          	U             	(4.688591e-01 -8.230846e-01 -2.025186e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.030655e+00 2.287309e+00 6.303686e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.66          	p             	-8.848006e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.015410e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.67          	U             	(4.940949e-01 -9.363279e-01 -2.170855e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.911536e+00 2.208134e+00 3.205713e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.67          	p             	-7.321368e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.537061e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.68          	U             	(5.500816e-01 -1.208432e+00 -1.799673e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.687771e+00 2.105333e+00 2.493457e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.68          	p             	-9.197222e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.140757e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.69          	U             	(-1.593345e-01 -1.073555e+00 -3.516280e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.686636e+00 2.005261e+00 2.882076e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.69          	p             	-9.242710e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.036445e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.7           	U             	(-1.429050e+00 -5.434437e-01 -4.001004e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.781645e+00 2.053677e+00 3.022004e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.7           	p             	-7.169854e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.714950e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.71          	U             	(-1.565107e+00 -5.548945e-01 -2.923129e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.915696e+00 2.228932e+00 4.794686e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.71          	p             	-8.436787e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.747162e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.72          	U             	(4.616866e-01 -8.172733e-01 -2.083622e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.045983e+00 2.264564e+00 6.573757e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.72          	p             	-9.280311e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.096613e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.73          	U             	(4.859170e-01 -8.784317e-01 -2.160929e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.995891e+00 2.209530e+00 4.097016e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.73          	p             	-7.247006e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.383087e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.74          	U             	(5.193924e-01 -1.110639e+00 -1.891416e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.792356e+00 2.131404e+00 2.616551e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.74          	p             	-8.693363e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.260312e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.75          	U             	(-1.388155e-01 -8.881246e-01 -3.485072e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.693122e+00 2.026841e+00 2.569561e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.75          	p             	-9.440266e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.067951e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.76          	U             	(-1.648163e-01 -1.161932e+00 -2.809171e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.722413e+00 2.033942e+00 3.339233e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.76          	p             	-8.050543e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.241855e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.77          	U             	(-1.553172e+00 -5.470015e-01 -2.867001e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.884619e+00 2.139561e+00 3.375037e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.77          	p             	-7.885295e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	5.042067e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.78          	U             	(4.389386e-01 -8.426708e-01 -2.264569e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.955313e+00 2.257613e+00 6.198699e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.78          	p             	-9.315342e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.307761e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.79          	U             	(4.812218e-01 -8.373875e-01 -2.049139e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.846089e+00 2.069759e+00 3.525228e-18)	(1.198624e-01 6.718590e-02 -1.025000e-02)	0
1.79          	p             	-8.433357e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.088659e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.8           	U             	(5.091375e-01 -9.766983e-01 -2.069094e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.847855e+00 2.184602e+00 2.977616e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.8           	p             	-7.872904e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.421722e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.81          	U             	(5.931589e-01 -1.197171e+00 -1.787096e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.658180e+00 2.089662e+00 2.334618e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.81          	p             	-9.432444e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.140004e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.82          	U             	(-1.837395e-01 -1.121570e+00 -3.369071e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.682144e+00 1.991936e+00 2.973340e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.82          	p             	-8.852647e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.091040e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.83          	U             	(-1.336840e+00 -4.548897e-01 -3.458791e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.782968e+00 2.132445e+00 2.868180e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.83          	p             	-7.301556e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.983037e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.84          	U             	(-1.541531e+00 -5.504548e-01 -3.050333e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(3.022116e+00 2.244915e+00 5.392229e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.84          	p             	-8.958089e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.532695e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.85          	U             	(4.855954e-01 -8.094727e-01 -2.019159e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.049534e+00 2.278397e+00 6.588612e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.85          	p             	-9.041397e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	3.989300e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.86          	U             	(4.917346e-01 -8.861947e-01 -2.200109e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.912585e+00 2.235388e+00 3.505638e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.86          	p             	-7.033016e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.540275e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.87          	U             	(5.447421e-01 -1.174464e+00 -1.839900e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.723176e+00 2.100231e+00 2.463365e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.87          	p             	-9.077180e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.192807e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.88          	U             	(-1.423569e-01 -1.016122e+00 -3.479664e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.669254e+00 2.037029e+00 2.734745e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.88          	p             	-9.451950e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.070525e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.89          	U             	(-1.354331e-01 -1.125956e+00 -2.370975e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.725731e+00 2.035997e+00 3.291097e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.89          	p             	-7.385899e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.507216e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.9           	U             	(-1.568221e+00 -5.530158e-01 -2.832449e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.877578e+00 2.162608e+00 4.129023e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.9           	p             	-8.339985e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.877542e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.91          	U             	(4.915656e-01 -8.089060e-01 -2.185712e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.963638e+00 2.288097e+00 6.526881e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.91          	p             	-9.341506e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.138838e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.92          	U             	(5.045128e-01 -8.126006e-01 -2.098279e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.956080e+00 2.299847e+00 4.789304e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.92          	p             	-7.861601e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.272102e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.93          	U             	(5.550908e-01 -1.014332e+00 -1.963318e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.867077e+00 2.130899e+00 2.697018e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.93          	p             	-8.360881e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.304141e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
1.94          	U             	(-1.498873e+00 -8.029285e-01 -6.214082e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.681284e+00 2.056105e+00 2.482261e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.94          	p             	-9.462834e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.068643e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.95          	U             	(-1.849036e-01 -1.142988e+00 -3.109703e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.714735e+00 2.002558e+00 3.229573e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.95          	p             	-8.485787e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.153290e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.96          	U             	(-1.373947e+00 -4.547069e-01 -3.030843e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.861019e+00 2.132709e+00 2.932912e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.96          	p             	-7.586022e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.072004e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.97          	U             	(4.839513e-01 -8.636856e-01 -2.280151e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.998530e+00 2.266105e+00 5.956961e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.97          	p             	-9.181198e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.413310e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.98          	U             	(5.209221e-01 -7.823965e-01 -2.071881e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.021353e+00 2.269665e+00 6.111395e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.98          	p             	-8.608458e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.043118e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
1.99          	U             	(5.168146e-01 -9.275751e-01 -2.127799e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.929944e+00 2.178856e+00 2.947648e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
1.99          	p             	-7.493512e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.489938e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2             	U             	(5.990348e-01 -1.099294e+00 -1.846043e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.779494e+00 2.044433e+00 2.436293e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2             	p             	-9.291297e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.137750e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
2.01          	U             	(-1.676043e-01 -1.088718e+00 -3.462611e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.688767e+00 1.984031e+00 2.952221e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.01          	p             	-9.137919e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.054811e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.02          	U             	(-1.417892e+00 -5.329827e-01 -3.844115e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.769623e+00 2.078871e+00 2.993385e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.02          	p             	-7.258093e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.786964e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.03          	U             	(-1.510967e+00 -5.866849e-01 -2.809484e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.934551e+00 2.214190e+00 4.871617e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.03          	p             	-8.630887e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.703584e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.04          	U             	(5.004717e-01 -7.972207e-01 -2.066139e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.019768e+00 2.287739e+00 6.614511e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
2.04          	p             	-9.259095e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.041920e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
2.05          	U             	(4.903645e-01 -8.498849e-01 -2.167509e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.952951e+00 2.261300e+00 3.961846e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
