# Region type : patch outlet
# Faces       : 52
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
4.32          	(1.999734e+00 -6.334897e-02 3.772656e-24)
4.33          	(1.999596e+00 -9.624861e-02 -1.057870e-24)
4.34          	(1.999844e+00 1.063375e-01 -7.070209e-24)
4.35          	(1.999970e+00 6.574717e-02 1.178694e-24)
4.36          	(1.999555e+00 -1.375410e-01 2.932634e-24)
4.37          	(1.999711e+00 -2.241386e-02 -3.218586e-24)
4.38          	(1.999584e+00 1.378438e-01 -7.088490e-24)
4.39          	(1.999732e+00 -3.547222e-02 2.986275e-24)
4.4           	(1.999651e+00 -1.145143e-01 -3.578493e-25)
4.41          	(1.999744e+00 7.670436e-02 -6.223027e-24)
4.42          	(1.999983e+00 9.272832e-02 -1.549300e-24)
4.43          	(1.999801e+00 -1.208044e-01 3.653848e-24)
4.44          	(1.999752e+00 -4.737251e-02 -2.458370e-24)
4.45          	(1.999771e+00 1.395151e-01 -7.225617e-24)
4.46          	(1.999825e+00 -4.912372e-03 2.902308e-24)
4.47          	(1.999718e+00 -1.306023e-01 6.899840e-25)
4.48          	(1.999783e+00 4.163425e-02 -5.254738e-24)
4.49          	(1.999854e+00 1.109962e-01 -3.993849e-24)
4.5           	(1.999805e+00 -9.553498e-02 4.144135e-24)
4.51          	(1.999667e+00 -7.117513e-02 -1.792683e-24)
4.52          	(1.999893e+00 1.306193e-01 -7.339956e-24)
4.53          	(1.999915e+00 2.809839e-02 2.442995e-24)
4.54          	(1.999546e+00 -1.411507e-01 1.738917e-24)
4.55          	(1.999854e+00 8.496190e-03 -4.205684e-24)
4.56          	(1.999692e+00 1.269291e-01 -5.682785e-24)
4.57          	(1.999751e+00 -6.718067e-02 3.472647e-24)
4.58          	(1.999613e+00 -9.252859e-02 -1.242012e-24)
4.59          	(1.999904e+00 1.123193e-01 -6.898004e-24)
4.6           	(1.999955e+00 5.947299e-02 1.233115e-24)
4.61          	(1.999470e+00 -1.390254e-01 2.601865e-24)
4.62          	(1.999729e+00 -1.850033e-02 -3.172263e-24)
4.63          	(1.999565e+00 1.370384e-01 -7.165658e-24)
4.64          	(1.999715e+00 -4.024443e-02 3.122811e-24)
4.65          	(1.999619e+00 -1.120976e-01 -2.660877e-25)
4.66          	(1.999771e+00 8.285926e-02 -6.374268e-24)
4.67          	(2.000000e+00 8.733783e-02 -1.082914e-24)
4.68          	(1.999775e+00 -1.240219e-01 3.569940e-24)
4.69          	(1.999747e+00 -4.323803e-02 -2.617096e-24)
4.7           	(1.999708e+00 1.407099e-01 -7.092761e-24)
4.71          	(1.999803e+00 -1.102075e-02 2.822295e-24)
4.72          	(1.999732e+00 -1.283032e-01 4.385558e-25)
4.73          	(1.999785e+00 4.941394e-02 -5.632011e-24)
4.74          	(1.999903e+00 1.068018e-01 -3.461465e-24)
4.75          	(1.999863e+00 -1.000445e-01 4.128627e-24)
4.76          	(1.999684e+00 -6.731379e-02 -2.155721e-24)
4.77          	(1.999926e+00 1.328643e-01 -7.260772e-24)
4.78          	(1.999875e+00 2.240906e-02 2.657376e-24)
4.79          	(1.999602e+00 -1.402772e-01 1.398671e-24)
4.8           	(1.999852e+00 1.566068e-02 -4.711679e-24)
4.81          	(1.999740e+00 1.236073e-01 -5.405484e-24)
4.82          	(1.999756e+00 -7.378830e-02 3.802905e-24)
4.83          	(1.999638e+00 -8.897275e-02 -1.464550e-24)
4.84          	(1.999890e+00 1.153331e-01 -7.185180e-24)
4.85          	(1.999965e+00 5.467636e-02 1.354095e-24)
4.86          	(1.999512e+00 -1.405351e-01 2.515669e-24)
4.87          	(1.999752e+00 -1.367492e-02 -3.249872e-24)
4.88          	(1.999584e+00 1.357330e-01 -6.802079e-24)
4.89          	(1.999708e+00 -4.505170e-02 2.746875e-24)
4.9           	(1.999611e+00 -1.092922e-01 -3.936440e-25)
4.91          	(1.999795e+00 8.809011e-02 -6.594086e-24)
4.92          	(2.000011e+00 8.418078e-02 -8.455304e-25)
4.93          	(1.999717e+00 -1.269861e-01 3.582515e-24)
4.94          	(1.999716e+00 -3.885871e-02 -2.613659e-24)
4.95          	(1.999669e+00 1.400821e-01 -7.186111e-24)
4.96          	(1.999794e+00 -1.569730e-02 2.630033e-24)
4.97          	(1.999729e+00 -1.263584e-01 1.955626e-25)
4.98          	(1.999811e+00 5.453305e-02 -5.653860e-24)
4.99          	(1.999917e+00 1.044665e-01 -2.843838e-24)
5             	(1.999874e+00 -1.048785e-01 3.133197e-24)
